name,year,score,genre,link,chat
Достучаться до тебя 3,2024,0,"романтика,повседневность",http://www.world-art.ru/animation/animation.php?id=11869,5
Ниер: Автомата [ТВ-2],2024,0,приключения,http://www.world-art.ru/animation/animation.php?id=11838,6
"Спокойной ночи, мир",2023,7.4,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11847,2
Демон-дворецкий [ТВ-4],2024,0,приключения,http://www.world-art.ru/animation/animation.php?id=11814,4
Наруто (2024),2024,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11822,7
Унеси меня на Луну: Дни старшей школы,2023,7.1,"комедия,романтика",http://www.world-art.ru/animation/animation.php?id=11785,2
Четверо братьев Юдзуки,2023,0,"комедия,повседневность",http://www.world-art.ru/animation/animation.php?id=11762,6
16-битная чувственность,2023,0,"комедия,повседневность",http://www.world-art.ru/animation/animation.php?id=11724,6
Хоримия [ТВ-2],2023,7.6,"комедия,романтика",http://www.world-art.ru/animation/animation.php?id=11725,6
Великий из бродячих псов [ТВ-5],2023,8.4,приключения,http://www.world-art.ru/animation/animation.php?id=11733,0
Истории нечисти [ТВ-2],2023,6.6,"приключения,мистика",http://www.world-art.ru/animation/animation.php?id=11732,9
Go-Toubun no Hanayome~,2023,8.0,"комедия,романтика",http://www.world-art.ru/animation/animation.php?id=11736,3
Зимний подарок,2023,8.0,фэнтези,http://www.world-art.ru/animation/animation.php?id=11693,0
Ателье Райзы,2023,5.9,приключения,http://www.world-art.ru/animation/animation.php?id=11697,7
Фарс убитой нежити,2023,7.7,"детектив,фэнтези",http://www.world-art.ru/animation/animation.php?id=11702,28
Takano Kousaten,2021,8.0,повседневность,http://www.world-art.ru/animation/animation.php?id=11679,0
Colors,2023,6.9,музыкальный,http://www.world-art.ru/animation/animation.php?id=11681,6
Королевство руин,2023,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11647,8
Хельк,2023,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11650,16
Мужчина средних лет и его похождения в VRMMO,2023,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11651,17
Записки аптекаря,2023,0,"драма,детектив",http://www.world-art.ru/animation/animation.php?id=11656,64
Плутон,2023,7.9,триллер,http://www.world-art.ru/animation/animation.php?id=11655,5
Восхождение в тени [ТВ-2],2023,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11659,10
"Блич [ТВ-2, часть 2]",2023,7.9,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11613,8
Заботы запертой принцессы вампиров,2023,0,"комедия,фэнтези",http://www.world-art.ru/animation/animation.php?id=11617,5
Предсмертный список зомби,2023,0,приключения,http://www.world-art.ru/animation/animation.php?id=11618,38
"Как и ожидал, моя школьная романтическая жизнь не удалась OVA-3",2023,7.5,"комедия,романтика,повседневность",http://www.world-art.ru/animation/animation.php?id=11629,0
Моя возлюбленная забыла очки,2023,6.3,"романтика,повседневность",http://www.world-art.ru/animation/animation.php?id=11631,24
Хулиганки Рокудо,2023,5.9,"комедия,романтика",http://www.world-art.ru/animation/animation.php?id=11635,12
Я выживу с помощью зелий!,2023,0,"комедия,фэнтези",http://www.world-art.ru/animation/animation.php?id=11660,6
Храм,2023,6.2,"комедия,романтика,повседневность,этти",http://www.world-art.ru/animation/animation.php?id=11637,10
Иногда Аля внезапно кокетничает по-русски,2024,0,"комедия,романтика",http://www.world-art.ru/animation/animation.php?id=11690,9
Akuyaku Reijou Level 99: Watashi wa Ura Boss Desu ga Maou de wa Arimasen,2024,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11713,4
Сказка о сахарном яблоке [ТВ-2],2023,7.1,"приключения,романтика,фэнтези",http://www.world-art.ru/animation/animation.php?id=11714,9
Волчица и пряности (2024),2024,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11802,11
Ханако после школы,2023,10.0,комедия,http://www.world-art.ru/animation/animation.php?id=11863,0
