name,year,score,genre,link,chat
Призрак в доспехах (2026),2026,0,"приключения,фантастика",http://www.world-art.ru/animation/animation.php?id=12114,5
Поднятие уровня в одиночку [ТВ-2],2025,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=12079,8
Мой счастливый брак OVA,2024,7.1,"романтика,фэнтези",http://www.world-art.ru/animation/animation.php?id=12056,0
Nihon e Youkoso Elf-san.,2025,0,"комедия,повседневность",http://www.world-art.ru/animation/animation.php?id=12046,5
"Король демонов, попытайтесь снова! [ТВ-2]",2024,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=12049,5
Ubel Blatt,2025,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=12023,7
У моей жены нет эмоций,2024,0,"комедия,романтика,повседневность",http://www.world-art.ru/animation/animation.php?id=12036,4
Elf-san wa Yaserarenai.,2024,0,"комедия,повседневность",http://www.world-art.ru/animation/animation.php?id=11985,12
Восхождение Героя щита [ТВ-4],2025,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11993,5
Monogatari Series: Off & Monster Season,2024,0,приключения,http://www.world-art.ru/animation/animation.php?id=11990,5
Борьба в прямом эфире,2024,0,приключения,http://www.world-art.ru/animation/animation.php?id=12008,10
Танец мечей: Пылающий Хоннодзи,2024,7.0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11983,1
Дандадан,2024,0,комедия,http://www.world-art.ru/animation/animation.php?id=11934,5
Записи Астро,2024,0,"комедия,романтика",http://www.world-art.ru/animation/animation.php?id=11941,18
Самураи эпохи Мэйдзи: 1874,2024,6.3,приключения,http://www.world-art.ru/animation/animation.php?id=11947,10
"Студия, солнечная сторона, есть ангел",2024,6.2,"комедия,повседневность",http://www.world-art.ru/animation/animation.php?id=11902,13
Сильнейший танк покоряет подземелья,2024,5.6,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11905,19
Закусочная Басуэ,2024,5.7,комедия,http://www.world-art.ru/animation/animation.php?id=11909,7
Ворон не выбирает господина,2024,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11914,53
Беззаботная жизнь в ином мире,2024,0,"комедия,романтика,фэнтези",http://www.world-art.ru/animation/animation.php?id=11912,15
Общежитие вампиров,2024,0,"комедия,романтика",http://www.world-art.ru/animation/animation.php?id=11915,14
Новые врата,2024,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11921,19
Перерождение: Монстр,2024,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11884,27
Сжечь ведьму (спэшл),2023,7.3,приключения,http://www.world-art.ru/animation/animation.php?id=11882,1
Лучший в мире ассасин переродился [ТВ-2],2025,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11892,6
Мой сосед-ёкай,2024,0,повседневность,http://www.world-art.ru/animation/animation.php?id=11841,4
Ниндзя Камуи,2024,6.2,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11839,9
Grendizer U,2024,0,"приключения,фантастика,меха",http://www.world-art.ru/animation/animation.php?id=11852,7
Houkago no Breath,2023,7.5,приключения,http://www.world-art.ru/animation/animation.php?id=11854,0
Дед и бабушка вновь стали молодыми,2024,6.4,"комедия,повседневность",http://www.world-art.ru/animation/animation.php?id=11855,11
Ёко из Сэнгоку [ТВ-1],2024,6.6,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11857,11
Седьмая беззаботная жизнь,2024,6.9,"романтика,фэнтези",http://www.world-art.ru/animation/animation.php?id=11859,42
Демон-дворецкий [ТВ-4],2024,0,приключения,http://www.world-art.ru/animation/animation.php?id=11814,11
Салатница чудаков,2024,0,"комедия,фэнтези",http://www.world-art.ru/animation/animation.php?id=11817,23
Любовь с кончиков пальцев,2024,7.9,"романтика,повседневность",http://www.world-art.ru/animation/animation.php?id=11815,15
"Реинкарнация безработного [ТВ-2, часть 2]",2024,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11819,94
Фэйбл,2024,0,приключения,http://www.world-art.ru/animation/animation.php?id=11823,23
Наруто,2025,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11822,8
Наш дождливый протокол,2023,5.8,приключения,http://www.world-art.ru/animation/animation.php?id=11820,6
Непутевый ученик в школе магии [ТВ-3],2024,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11831,15
Ниер: Автомата [ТВ-2],2024,0,приключения,http://www.world-art.ru/animation/animation.php?id=11838,6
Достучаться до тебя 3,2024,0,"романтика,повседневность",http://www.world-art.ru/animation/animation.php?id=11869,5
